année;mois;date;trafic;;;
2016;10;oct.-16;1580022;;;
2016;11;nov.-16;1434502;;;
2016;12;déc.-16;1422352;;;
2017;1;janv.-17;1247767;;;
2017;2;févr.-17;1184658;;;
2017;3;mars-17;1481969;;;
2017;4;avr.-17;1577779;;;
2017;5;mai-17;1681375;;;
2017;6;juin-17;1727625;;;
2017;7;juil.-17;1779067;;;
